Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Aaron Ramsdale,Newcastle Utd,117,78.5,0,0.0,0
Jacob Ramsey,Newcastle Utd,169,90.4,0,0.5,8
David Raya,Arsenal,386,70.3,0,0.1,1
Harrison Reed,Fulham,1,100.0,0,0.0,0
Tijjani Reijnders,Manchester City,495,86.2,2,1.4,11
Declan Rice,Arsenal,895,83.8,3,3.0,27
Chris Richards,Crystal Palace,536,77.3,0,0.9,4
Richarlison,Tottenham,95,60.1,2,0.7,8
Chris Rigg,Sunderland,30,71.4,0,0.1,2
Patrick Roberts,Sunderland,17,81.0,0,0.0,0
Andrew Robertson,Liverpool,254,80.4,0,0.7,8
Antonee Robinson,Fulham,82,73.9,0,0.1,1
Joe Rodon,Leeds United,713,88.8,0,0.1,4
Rodri,Manchester City,218,86.9,0,0.2,3
Guido Rodríguez,West Ham,60,87.0,0,0.0,0
Robin Roefs,Sunderland,433,63.5,0,0.1,4
Morgan Rogers,Aston Villa,314,71.0,3,1.6,16
Merlin Röhl,Everton,35,77.8,0,0.0,1
Cristian Romero,Tottenham,601,88.3,1,0.3,4
Georginio Rutter,Brighton,176,68.2,2,1.8,15
José Sá,Wolves,89,67.9,0,0.0,1
Noah Sadiki,Sunderland,454,83.2,0,0.7,8
Bukayo Saka,Arsenal,331,73.1,1,3.7,28
Mohamed Salah,Liverpool,328,69.8,3,2.4,32
William Saliba,Arsenal,812,94.2,0,0.4,1
Robert Sánchez,Chelsea,450,69.4,0,0.0,4
Jadon Sancho,Aston Villa,70,87.5,0,0.6,5
Ibrahim Sangaré,Nott'ham Forest,407,86.8,2,1.1,4
Andrey Santos,Chelsea,202,84.9,0,0.1,5
Ismaila Sarr,Crystal Palace,156,69.0,1,0.5,12
Sávio,Manchester City,182,79.1,1,1.1,6
Nicolò Savona,Nott'ham Forest,322,76.5,0,0.4,6
Oliver Scarles,West Ham,20,83.3,0,0.0,0
Kevin Schade,Brentford,143,62.4,1,1.0,15
Fabian Schär,Newcastle Utd,407,83.6,0,0.4,2
Alex Scott,Bournemouth,449,78.4,0,0.5,6
Jenson Seelt,Sunderland,96,87.3,0,0.0,0
Matz Sels,Nott'ham Forest,275,61.2,0,0.1,1
Antoine Semenyo,Bournemouth,312,69.8,3,1.3,20
Marcos Senesi,Bournemouth,733,77.2,3,2.3,14
Benjamin Šeško,Manchester Utd,78,62.9,1,0.2,7
Ryan Sessegnon,Fulham,411,73.4,0,0.9,6
Luke Shaw,Manchester Utd,767,83.6,1,0.7,6
Bernardo Silva,Manchester City,618,87.7,2,1.5,13
Jota Silva,Nott'ham Forest,2,66.7,0,0.0,0
Xavi Simons,Tottenham,294,78.0,2,1.4,8
Adam Smith,Bournemouth,131,71.2,1,0.1,2
Emile Smith Rowe,Fulham,251,89.6,0,0.3,4
Dominic Solanke,Tottenham,2,100.0,0,0.0,0
